t,t_year,Labr,TFPr,gr_Dcrb,Dcrb,cost1_Abat,CEms_land,CEms_land_cum
1,5,7403.0,5.115,-0.0152,0.35032002736111795,0.0,2.6,2.6
2,10,7403.0,5.115,-0.0152,0.35032002736111795,0.07225350564323056,2.301,2.6
3,15,7403.0,5.115,-0.0152,0.35032002736111795,0.07044716800214981,2.036385,2.6
4,20,7403.0,5.115,-0.0152,0.35032002736111795,0.06868598880209605,1.8022007250000003,2.6
5,25,7403.0,5.115,-0.0152,0.35032002736111795,0.06696883908204365,1.5949476416250004,2.6
6,30,7403.0,5.115,-0.0152,0.35032002736111795,0.06529461810499257,1.4115286628381252,2.6
7,35,7403.0,5.115,-0.0152,0.35032002736111795,0.06366225265236775,1.2492028666117407,2.6
8,40,7403.0,5.115,-0.0152,0.35032002736111795,0.06207069633605855,1.1055445369513905,2.6
9,45,7403.0,5.115,-0.0152,0.35032002736111795,0.0605189289276571,0.9784069152019808,2.6
10,50,7403.0,5.115,-0.0152,0.35032002736111795,0.05900595570446566,0.8658901199537529,2.6
11,55,7403.0,5.115,-0.0152,0.35032002736111795,0.05753080681185402,0.7663127561590714,2.6
12,60,7403.0,5.115,-0.0152,0.35032002736111795,0.05609253664155766,0.6781867892007781,2.6
13,65,7403.0,5.115,-0.0152,0.35032002736111795,0.05469022322551873,0.6001953084426886,2.6
14,70,7403.0,5.115,-0.0152,0.35032002736111795,0.05332296764488075,0.5311728479717794,2.6
15,75,7403.0,5.115,-0.0152,0.35032002736111795,0.05198989345375874,0.4700879704550248,2.6
16,80,7403.0,5.115,-0.0152,0.35032002736111795,0.050690146117414764,0.41602785385269697,2.6
17,85,7403.0,5.115,-0.0152,0.35032002736111795,0.049422892464479395,0.36818465065963685,2.6
18,90,7403.0,5.115,-0.0152,0.35032002736111795,0.048187320152867405,0.3258434158337786,2.6
19,95,7403.0,5.115,-0.0152,0.35032002736111795,0.04698263714904572,0.2883714230128941,2.6
20,100,7403.0,5.115,-0.0152,0.35032002736111795,0.045808071220319574,0.25520870936641127,2.6
21,105,7403.0,5.115,-0.0152,0.35032002736111795,0.04466286943981158,0.22585970778927397,2.6
22,110,7403.0,5.115,-0.0152,0.35032002736111795,0.0435462977038163,0.19988584139350746,2.6
